year,gq,gqtypeg,farm,ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,stepmom,momrule,poploc,steppop,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,eldch,yngch,nsibs,relateg,age,sex,raceg,marst,chborn,school,educrec,schltype,empstatg,labforce,occscore,sei,classwkg,wkswork2,hrswork2,workedyr,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,migrat5g,movedin,vetstat,binaryClass
98,0,4,1,1,999999,325,9505,1,1,1,1,0,0,0,0,0,0,1,1,4,2,2,1,3,1,0,12,25,0,6,2,4,0,0,3,1,0,18,44,1,6,8,0,0,0,0,0,0,0,0,128,3,0,0,1
98,0,4,1,1,999999,287,8005,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,20,0,1,3,12,0,5,3,0,1,22,61,1,3,8,1,8005,8005,0,0,0,0,0,211,5,1,0,1
98,0,4,1,0,85000,0,29635,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,0,4,0,6,3,13,1,8,1,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,304,5,0,2,1
98,0,4,1,0,999999,0,52895,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,17,1,6,3,13,1,3,2,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,501,2,0,0,1
98,0,4,1,1,999999,185,7610,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,99,0,9,25,0,6,3,12,1,0,2,0,1,17,13,1,3,1,1,4520,4505,0,0,0,0,0,119,5,0,0,1
98,0,4,1,1,999999,135,75000,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,44,1,1,2,13,0,5,3,2,1,20,9,1,1,8,1,57240,56525,0,0,0,0,715,501,5,2,1,1
98,0,4,1,1,999999,237,7760,1,0,1,0,1,0,1,0,0,0,0,0,4,0,0,1,99,99,2,0,7,0,1,3,13,1,8,0,3,2,0,0,2,6,8,2,999999,999999,999999,999999,99999,99999,99999,105,5,0,2,1
98,0,4,1,0,57500,0,25465,1,0,1,0,0,0,0,0,0,0,0,0,11,0,0,1,99,99,7,10,17,0,6,3,12,1,3,2,1,0,0,0,2,6,8,0,1655,0,0,0,1655,0,0,173,5,0,0,1
98,0,4,1,0,85000,0,14510,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,3,73,1,6,2,13,0,0,3,1,0,0,0,2,6,8,0,14510,0,0,0,2505,0,0,329,5,5,0,1
98,0,4,1,0,112500,0,2700,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,27,0,6,3,12,0,0,3,0,1,40,77,0,5,6,1,2700,2105,0,0,0,0,0,71,3,2,0,1
