year,gq,gqtypeg,farm,ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,stepmom,momrule,poploc,steppop,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,eldch,yngch,nsibs,relateg,age,sex,raceg,marst,chborn,school,educrec,schltype,empstatg,labforce,occscore,sei,classwkg,wkswork2,hrswork2,yrlastwk,workedyr,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,migrat5g,movedin,vetstat,binaryClass
99,0,1,1,1,999999,412,23000,2,0,1,1,0,0,0,1,0,1,0,0,7,0,0,1,99,99,1,0,14,0,6,3,13,1,6,2,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,116,1,0,2,1
99,0,1,1,0,162500,0,38008,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,25,1,6,3,13,0,1,0,0,1,48,87,1,5,4,7,1,38008,38000,0,0,0,0,0,501,0,2,0,1
99,0,1,1,1,999999,675,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,99,99,0,0,5,0,1,3,13,1,2,2,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,1,0,0,2,1
99,0,1,1,1,999999,725,23008,2,1,1,1,1,0,1,2,0,1,0,0,5,0,0,1,99,99,2,0,2,1,6,3,13,2,9,3,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,155,2,0,2,1
99,0,1,1,0,400000,0,104000,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,10,1,6,3,13,1,2,2,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,501,1,0,2,1
99,0,1,1,0,85000,0,17000,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,12,85,0,6,2,12,0,6,0,1,0,0,0,2,6,8,0,0,7000,0,0,0,7000,0,0,227,1,0,0,1
99,0,1,1,1,999999,1000,14000,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,35,35,0,7,59,0,6,2,6,0,5,0,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,144,1,0,0,1
99,2,2,1,2,999999,0,999999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,5,30,1,1,1,13,0,0,0,2,1,25,37,1,6,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1
99,0,1,1,1,999999,1000,10000,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,1,99,99,0,12,45,1,1,2,13,0,1,0,2,1,41,68,0,6,8,1,0,0,0,0,0,0,0,0,120,0,0,1,1
99,0,1,1,1,999999,875,34000,1,1,1,1,2,0,1,1,0,1,0,0,6,0,0,1,99,99,3,0,11,0,6,3,13,1,2,2,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,205,0,0,2,1
99,0,1,1,0,42499,0,31000,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,99,99,0,9,24,0,6,3,12,1,0,2,0,1,25,44,1,5,1,7,1,16700,16700,0,0,0,0,0,259,0,0,0,1
99,0,1,1,1,999999,137,7800,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,79,0,6,5,5,0,5,0,1,0,0,0,2,6,8,5,0,7800,0,0,0,5292,2508,0,131,1,2,0,1
99,1,0,1,2,999999,0,999999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,4,51,0,6,5,12,0,0,0,1,0,41,68,0,6,8,1,0,660,0,0,0,0,660,0,0,0,0,0,1
99,0,1,1,1,999999,462,37118,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,0,2,1,6,3,13,2,9,3,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,295,2,0,2,1
99,0,1,1,1,999999,625,14000,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,0,3,0,6,3,13,0,8,0,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,111,2,0,2,1
99,0,1,1,0,225000,0,63000,1,1,1,1,0,0,0,0,0,0,1,1,4,2,1,1,5,2,0,12,28,0,6,2,4,0,5,0,0,1,24,44,1,5,1,7,1,20000,20000,0,0,0,0,0,501,0,0,0,1
99,0,1,1,1,999999,575,45500,1,1,1,1,0,0,0,0,0,0,2,1,6,4,0,1,24,19,0,7,44,0,6,2,6,0,6,0,0,1,23,18,1,5,4,7,1,16000,16000,0,0,0,0,0,256,1,0,0,1
99,0,1,1,0,85000,0,31564,1,1,1,1,0,0,0,0,0,0,1,1,3,1,0,1,20,20,0,12,55,0,6,2,5,0,5,0,0,1,11,11,1,4,2,7,1,9600,9600,0,0,0,0,0,325,1,0,0,1
99,0,1,1,1,999999,675,32096,1,2,2,2,0,0,0,0,0,0,8,1,11,1,0,1,6,6,2,10,28,0,6,2,5,0,6,0,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,128,0,0,0,1
99,0,1,1,1,999999,725,30800,1,1,1,1,0,0,0,0,0,0,1,1,5,3,0,1,37,21,0,12,59,0,6,2,11,0,6,0,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,200,1,0,0,1
99,0,1,1,0,137500,0,13000,1,1,1,1,0,0,0,0,0,0,2,1,5,3,0,1,16,6,0,3,36,1,6,2,13,0,0,0,0,1,10,19,1,1,8,6,1,19000,19000,0,0,0,0,0,88,1,6,0,1
99,0,1,1,1,999999,512,172746,1,1,1,1,0,0,0,0,0,0,1,1,5,2,2,1,2,0,0,12,28,0,6,2,4,0,7,0,0,1,13,10,1,2,4,7,1,168246,7000,123515,0,0,0,0,501,1,0,0,1
99,2,2,1,2,999999,0,999999,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,5,25,1,1,3,13,0,5,0,1,0,0,0,2,6,8,3,0,3000,0,0,0,0,0,3000,0,0,0,0,1
99,0,1,1,1,999999,312,8492,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,39,1,6,3,13,0,0,0,2,1,41,68,1,0,8,4,1,8492,4176,0,0,0,0,4316,132,1,5,1,1
99,0,1,1,0,350000,0,115000,1,1,1,1,2,0,1,1,0,1,0,0,3,0,0,1,99,99,0,0,19,1,6,3,13,1,0,2,0,1,18,44,1,5,1,7,1,12000,12000,0,0,0,0,0,501,1,0,0,1
99,0,1,1,0,137500,0,19357,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,14,14,0,3,40,0,1,0,4,1,0,2,0,1,22,61,1,2,1,7,1,19357,19000,0,0,0,0,357,226,1,7,0,1
99,0,1,1,0,350000,0,87980,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,16,1,4,3,13,1,3,1,1,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,501,1,0,0,1
99,0,1,1,0,162500,0,28000,1,1,1,1,0,0,0,0,0,0,1,1,5,3,1,1,13,2,0,12,31,0,6,2,5,0,5,0,0,1,22,61,1,4,4,7,1,14000,14000,0,0,0,0,0,189,1,0,0,1
99,0,1,1,1,999999,675,26530,1,1,1,1,0,0,0,0,0,0,2,1,3,1,0,1,29,29,0,3,53,1,6,2,13,0,5,0,0,1,23,18,1,0,4,7,1,9507,5191,0,0,0,0,4316,274,0,1,1,1
99,0,1,1,0,225000,0,70920,1,1,1,1,0,0,0,0,0,0,1,1,4,2,0,1,16,13,0,12,42,0,6,2,4,0,0,0,0,1,22,51,1,5,4,7,1,29120,29120,0,0,0,0,0,501,1,0,0,1
99,0,1,1,1,999999,487,12461,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,3,46,1,6,0,13,1,1,2,2,1,31,65,1,0,8,6,1,12461,224,0,0,0,6695,5112,193,0,1,1,1
99,0,1,1,1,999999,625,17000,1,1,1,1,2,0,1,1,0,1,0,0,5,0,0,1,99,99,2,0,3,1,6,3,13,0,8,0,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,115,2,0,2,1
99,0,1,1,0,400000,0,48400,1,1,1,1,0,0,0,0,0,0,2,1,4,2,0,1,12,11,0,3,40,1,6,2,13,0,0,0,0,1,32,62,1,5,4,7,1,47800,47800,0,0,0,0,0,385,1,6,0,1
99,0,1,1,1,999999,675,11000,3,0,1,1,6,0,6,0,0,0,0,0,2,0,0,3,99,99,0,5,13,1,6,3,13,1,6,2,3,2,0,0,2,6,8,7,2,0,999999,999999,999999,99999,99999,99999,1,1,0,2,1
