Lottery.pick.1970,Lottery.pick.1971,Month,Month.ordered.picks.1970,binaryClass
305,133,1,9,0
159,195,1,4,0
251,336,1,12,0
215,99,1,2,0
101,33,1,10,0
224,285,1,9,0
306,159,1,10,0
199,116,1,9,0
194,53,1,11,0
325,101,1,12,0
329,144,1,8,0
221,152,1,12,0
318,330,1,7,0
238,71,1,4,0
17,75,1,7,0
121,136,1,12,0
235,54,1,1,0
140,185,1,9,0
58,188,1,11,0
280,211,1,6,0
186,129,1,8,0
337,132,1,6,0
118,48,1,7,0
59,177,1,10,0
52,57,1,2,0
92,140,1,12,0
355,173,1,7,0
77,346,1,6,0
349,277,1,3,0
164,112,1,3,0
211,60,1,5,0
86,335,2,4,0
144,354,2,3,1
297,186,2,11,0
210,94,2,5,0
214,97,2,8,0
347,16,2,5,0
91,25,2,10,0
181,127,2,12,0
338,187,2,5,0
216,46,2,12,0
150,227,2,7,0
68,262,2,12,0
152,13,2,8,0
4,260,2,8,0
89,201,2,11,0
212,334,2,11,0
189,345,2,8,1
292,337,2,9,0
25,331,2,7,0
302,20,2,11,0
363,213,2,1,0
290,271,2,12,1
57,351,2,8,1
236,226,2,5,0
179,325,2,12,0
365,86,2,2,1
205,66,2,1,0
299,234,2,1,0
285,161,2,6,1
108,14,3,8,0
29,77,3,4,0
267,207,3,9,0
275,117,3,6,0
293,299,3,5,0
139,296,3,11,0
122,141,3,7,0
213,79,3,2,0
317,278,3,6,0
323,150,3,12,0
136,317,3,9,1
300,24,3,10,0
259,241,3,6,0
354,12,3,4,0
169,157,3,5,1
166,258,3,11,0
33,220,3,1,0
332,319,3,12,0
200,189,3,10,0
239,170,3,11,0
334,246,3,4,0
265,269,3,9,0
256,281,3,4,0
258,203,3,12,0
343,298,3,6,0
170,121,3,2,0
268,254,3,10,0
223,95,3,7,0
362,147,3,2,0
217,56,3,4,0
30,38,3,2,0
32,224,4,1,0
271,216,4,7,0
83,297,4,10,0
81,37,4,12,0
269,124,4,12,0
253,312,4,11,0
147,142,4,7,0
312,267,4,11,1
219,223,4,12,0
218,165,4,1,1
14,178,4,8,0
346,89,4,5,0
124,143,4,6,0
231,202,4,12,0
273,182,4,8,0
148,31,4,11,0
260,264,4,3,0
90,138,4,6,0
336,62,4,6,0
345,118,4,8,0
62,8,4,5,1
316,256,4,9,0
252,292,4,8,0
2,244,4,7,0
351,328,4,8,1
340,137,4,10,0
74,235,4,1,0
262,82,4,9,0
191,111,4,7,0
208,358,4,1,0
330,179,5,3,0
298,96,5,12,0
40,171,5,4,0
276,240,5,10,0
364,301,5,11,0
155,268,5,11,0
35,29,5,12,0
321,105,5,12,1
197,357,5,5,0
65,146,5,11,0
37,293,5,11,1
133,210,5,5,1
295,353,5,6,0
178,40,5,12,0
130,344,5,3,1
55,175,5,6,0
112,212,5,10,0
278,180,5,3,0
75,155,5,1,1
183,242,5,8,0
250,225,5,8,0
326,199,5,11,0
319,222,5,2,1
31,22,5,8,0
361,26,5,11,0
357,148,5,4,0
296,122,5,4,0
308,9,5,9,0
226,61,5,2,0
103,209,5,9,0
313,350,5,2,1
249,65,6,7,0
228,304,6,8,0
301,135,6,5,0
20,42,6,11,0
28,233,6,12,0
110,153,6,9,0
85,169,6,1,1
366,7,6,9,0
335,352,6,9,0
206,76,6,12,0
134,355,6,12,0
272,51,6,1,0
69,342,6,12,0
356,363,6,3,0
180,276,6,8,0
274,229,6,8,0
73,289,6,3,0
341,214,6,3,0
104,163,6,10,0
360,43,6,7,0
60,113,6,12,1
247,307,6,11,0
109,44,6,9,0
358,236,6,10,0
137,327,6,9,1
22,308,6,5,0
64,55,6,2,0
222,215,6,6,0
353,154,6,2,0
209,217,6,11,0
93,104,7,5,0
350,322,7,9,0
115,30,7,11,1
279,59,7,1,0
188,287,7,7,0
327,164,7,7,1
50,365,7,2,0
13,106,7,7,0
277,1,7,4,0
284,158,7,10,0
248,174,7,7,0
15,257,7,1,0
42,349,7,9,1
331,156,7,10,0
322,273,7,5,0
120,284,7,8,0
98,341,7,1,0
190,90,7,3,0
227,316,7,10,0
187,120,7,10,0
27,356,7,11,0
153,282,7,9,0
172,172,7,2,0
23,360,7,6,0
67,3,7,9,0
303,47,7,4,0
289,85,7,6,0
88,190,7,2,0
270,4,7,1,1
287,15,7,2,0
193,221,7,3,0
111,326,8,2,0
45,102,8,1,0
261,279,8,2,0
145,300,8,3,0
54,64,8,4,0
114,251,8,4,0
168,263,8,10,0
48,49,8,1,0
106,125,8,6,0
21,359,8,3,0
324,230,8,1,0
142,320,8,9,0
307,58,8,5,0
198,103,8,7,0
102,270,8,6,0
44,329,8,10,0
154,343,8,11,0
141,109,8,4,0
311,83,8,9,0
344,69,8,9,0
291,50,8,10,0
339,250,8,1,0
116,10,8,2,0
36,274,8,10,0
286,364,8,1,0
245,91,8,3,0
352,232,8,12,0
167,248,8,10,0
61,32,8,9,0
333,167,8,10,0
11,275,8,10,0
225,283,9,8,0
161,161,9,9,0
49,183,9,6,0
232,231,9,7,0
82,295,9,6,0
6,21,9,5,0
8,265,9,1,0
184,108,9,4,0
263,313,9,4,0
71,130,9,10,0
158,288,9,9,0
242,314,9,3,0
175,238,9,9,0
1,247,9,3,0
113,291,9,3,0
207,139,9,4,0
255,200,9,8,0
246,333,9,4,0
177,228,9,9,0
63,261,9,10,0
204,68,9,3,0
160,88,9,11,0
119,206,9,3,0
195,237,9,3,0
149,107,9,4,0
18,93,9,7,0
233,338,9,4,0
257,309,9,6,0
151,303,9,4,0
315,18,9,6,0
359,306,10,3,0
125,191,10,5,0
244,134,10,7,1
202,266,10,5,0
24,166,10,7,0
87,78,10,1,0
234,131,10,11,0
283,45,10,11,0
342,302,10,10,0
220,160,10,7,0
237,84,10,2,1
72,70,10,8,0
138,92,10,7,0
294,115,10,10,0
171,310,10,7,0
254,34,10,2,0
288,290,10,8,0
5,340,10,2,0
241,74,10,3,0
192,196,10,10,0
243,5,10,5,0
117,36,10,5,0
201,339,10,2,0
196,149,10,5,0
176,17,10,2,0
7,184,10,3,0
264,318,10,6,0
94,28,10,2,0
229,259,10,7,0
38,332,10,12,0
79,311,10,1,0
19,243,11,1,0
34,205,11,8,0
348,294,11,5,0
266,39,11,11,0
310,286,11,11,0
76,245,11,8,0
51,72,11,4,0
97,119,11,5,0
80,176,11,12,0
282,63,11,9,0
46,123,11,4,0
66,255,11,3,0
126,272,11,1,0
127,11,11,5,0
131,362,11,12,0
107,197,11,5,0
143,6,11,7,0
146,280,11,3,0
203,252,11,8,0
185,98,11,1,0
156,35,11,5,0
9,253,11,7,0
182,193,11,12,0
230,81,11,1,0
132,23,11,5,1
309,52,11,7,0
47,168,11,3,0
281,324,11,8,0
99,100,11,3,0
174,67,11,6,0
129,347,12,4,1
328,321,12,1,0
157,110,12,2,0
165,305,12,8,0
56,27,12,4,0
10,198,12,6,0
12,162,12,10,0
105,323,12,3,0
43,114,12,8,0
41,204,12,4,0
39,73,12,4,1
314,19,12,2,0
163,151,12,11,0
26,348,12,1,0
320,87,12,7,0
96,41,12,4,0
304,315,12,8,0
128,208,12,6,0
240,249,12,3,0
135,218,12,1,0
70,181,12,6,0
53,194,12,5,0
162,219,12,6,0
95,2,12,10,0
84,361,12,6,0
173,80,12,5,0
78,239,12,3,0
123,128,12,2,0
16,145,12,5,0
3,192,12,2,0
100,126,12,6,1
